Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
1000,"Böhlje, Georg",Böhlje Georg,Böhlje,Georg,8. März1867
1001,"Böhlje, Heinrich",Böhlje Heinrich,Böhlje,Heinrich,14. April 1869
1002,"Böhm, Antonie",Böhm Antonie,Böhm,Antonie,16. November 1903
1003,"Böhm, Eduard",Böhm Eduard,Böhm,Eduard,26. Juli1858
1004,"Böhm, Gottfried",Böhm Gottfried,Böhm,Gottfried,27. Oktbr. 1845
1005,"Böhm, Gustav",Böhm Gustav,Böhm,Gustav,23. Aug.1854
1006,"Böhm, Hans",Böhm Hans,Böhm,Hans,18. April1876
1007,"Böhm, Martin",Böhm Martin,Böhm,Martin,11. Juni 1912
1008,"Böhm, Willibald",Böhm Willibald,Böhm,Willibald, Juli1894
1009,"Böhme, Albert",Böhme Albert,Böhme,Albert,12.März 1821
1010,"Böhme, Bruno Emil",Böhme Bruno Emil,Böhme,Bruno Emil,11. Juni 1854
1011,"Böhme, Margarete",Böhme Margarete,Böhme,Margarete,.
1012,"Böhmer, Christian",Böhmer Christian,Böhmer,Christian,1. Juni1823
1013,"Böhmer, Emma",Böhmer Emma,Böhmer,Emma,22. März1861
1014,"Böhmker, Bernhard Richard Ludwig",Böhmker Bernhard Richard Ludwig,Böhmker,Bernhard Richard Ludwig,9. Dezbr. 1870
1015,"Bohn, Franz",Bohn Franz,Bohn,Franz,2. Febr.1849
1016,"Boehn, Max Ulrich von",Boehn Max Ulrich von,Boehn,Max Ulrich von,5. Febr. 1860
1017,"Böhncke, August",Böhncke August,Böhncke,August,6.Dezbr. 1818
1018,"Böhnke, Hermann Julius",Böhnke Hermann Julius,Böhnke,Hermann Julius,22. März 1842
1019,"Bohrmann(-Riegen), Heinrich",Bohrmann Heinrich,Bohrmann,Heinrich,28. Mai 1840
1020,"Bohrmann, Marianne",Bohrmann Marianne,Bohrmann,Marianne,2. Aug. 1849
1021,"Böhtlingk, Arthur",Böhtlingk Arthur,Böhtlingk,Arthur, Mai 1849
1022,"Bojanowski, Julius",Bojanowski Julius,Bojanowski,Julius,3. März 1857
1023,"Bolanden, Konrad",Bolanden Konrad,Bolanden,Konrad,.
1024,"Boldt, Heinrich August",Boldt Heinrich August,Boldt,Heinrich August,17. Febr. 1838
1025,"Bolgiani (auch Voigtel-Bolgiani), Valeska",Bolgiani Valeska,Bolgiani,Valeska,.
1026,"Boelitz, Martin",Boelitz Martin,Boelitz,Martin,10. Mai1874
1027,"Bollag, Markus",Bollag Markus,Bollag,Markus,.
1028,"Bolm, Robert",Bolm Robert,Bolm,Robert,.
1029,"Bölsche, Wilhelm",Bölsche Wilhelm,Bölsche,Wilhelm,2. Jan.1861
1030,"Bolte, Frau Anna",Bolte Frau Anna,Bolte,Frau Anna,.
1031,"Bölte, Amalie Charlotte Elise Marianne",Bölte Amalie Charlotte Elise Marianne,Bölte,Amalie Charlotte Elise Marianne,6. Oktbr. 1811
1032,"Bolza, Eugenie",Bolza Eugenie,Bolza,Eugenie,.
1033,"Bolze, Heinrich Ludwig",Bolze Heinrich Ludwig,Bolze,Heinrich Ludwig,13. Mai 1813
1034,"Bömers, Karl Wilhelm Theodor",Bömers Karl Wilhelm Theodor,Bömers,Karl Wilhelm Theodor,17. Juni 1848
1035,"Bomhard, Konstanze",Bomhard Konstanze,Bomhard,Konstanze,25. März 1873
1036,"Bondoux, Frdr. Wilhelm",Bondoux Frdr. Wilhelm,Bondoux,Frdr. Wilhelm,.
1037,"Bone, Heinrich",Bone Heinrich,Bone,Heinrich,3. April 1873
1038,"Bonhoff, Karl",Bonhoff Karl,Bonhoff,Karl,1. Oktbr. 1908
1039,"Bonhöffer, Eugen",Bonhöffer Eugen,Bonhöffer,Eugen,18. April1852
1040,"Bonin, Anna von",Bonin Anna,Bonin,Anna, Febr.1900
1041,"Bonn, Ferdinand",Bonn Ferdinand,Bonn,Ferdinand,20. Dezbr. 1861
1042,"Bonn, Franz",Bonn Franz,Bonn,Franz,7. Juli 1894
1043,"Bonnet, Paul Georg Johannes",Bonnet Paul Georg Johannes,Bonnet,Paul Georg Johannes,4. Mai 1843
1044,"Bonsels, Ernst Waldemar",Bonsels Ernst Waldemar,Bonsels,Ernst Waldemar,21. Febr. 1881
1045,"Bonté, Hugo",Bonté Hugo,Bonté,Hugo,13. März 1873
1046,"Bonus, Artur",Bonus Artur,Bonus,Artur,21. Jan.1864
1047,"Bonus, Emma Beate",Bonus Emma Beate,Bonus,Emma Beate,.
1048,"Boor, Friedrich",Boor Friedrich,Boor,Friedrich,30. Juni1844
1049,"Bopp, Fritz",Bopp Fritz,Bopp,Fritz,14. Jan. 1863
1050,"Borchardt, Felix",Borchardt Felix,Borchardt,Felix,7. März 1857
1051,"Borchardt, Georg",Borchardt Georg,Borchardt,Georg,.
1052,"Borchart, Elsbeth",Borchart Elsbeth,Borchart,Elsbeth,3. Dezbr. 1878
1053,"Borcherdt, Albert",Borcherdt Albert,Borcherdt,Albert,18. Aug. 1842
1054,"Borchers, Friedrich Rudolf",Borchers Friedrich Rudolf,Borchers,Friedrich Rudolf,2. Febr. 1852
1055,"Borcke, Johann Heinrich Heros von",Borcke Johann Heinrich Heros,Borcke,Johann Heinrich Heros,23. Juli 1835
1056,"Börckel, Alfred",Börckel Alfred,Börckel,Alfred,14. Nov.1851
1057,"Borges, Julie",Borges Julie,Borges,Julie,3. April1846
