Original,Name,Vorname,Titel,Sonstiges,Name Vorname
"Aabel, Marie",Aabel,Marie,,,Aabel Marie
"Aarau, Agnes v",Aarau,Agnes,,v,Aarau Agnes
"Abegg, Eugenie",Abegg,Eugenie,,,Abegg Eugenie
"Abel, Frau Clementine",Abel,Clementine,Frau,,Abel Clementine
"Abele, Marie",Abele,Marie,,,Abele Marie
"Abell, Lucie Elisabeth",Abell,Lucie Elisabeth,,,Abell Lucie Elisabeth
"Abenheim, Albertine",Abenheim,Albertine,,,Abenheim Albertine
"Abrie, W",Abrie,W,,,Abrie W
"Abt, Frl. Hedwig",Abt,Hedwig,Frl.,,Abt Hedwig
"Ackermann, E",Ackermann,E,,,Ackermann E
"Adami, Eva",Adami,Eva,,,Adami Eva
"Adams-Lehmann, Frau H. B",Adams-Lehmann,H. B,Frau,,Adams-Lehmann H. B
Adele,Adele,,,,Adele 
"Adelfels, Marie v",Adelfels,Marie,,v,Adelfels Marie
Adeline,Adeline,,,,Adeline 
"Adelma, Elise",Adelma,Elise,,,Adelma Elise
"Adelmann, Frl. Helene",Adelmann,Helene,Frl.,,Adelmann Helene
"Adelmann, Margaretha",Adelmann,Margaretha,,,Adelmann Margaretha
"Adelmi, Mario",Adelmi,Mario,,,Adelmi Mario
"Adelung, Frl. Sophie v",Adelung,Sophie,Frl.,v,Adelung Sophie
"Adenauer, Frl. Maria",Adenauer,Maria,Frl.,,Adenauer Maria
"Adinda, Johs",Adinda,Johs,,,Adinda Johs
"Adler, Emma",Adler,Emma,,,Adler Emma
"Adler, Frl. Helene",Adler,Helene,Frl.,,Adler Helene
"Adlersfeld, Frau Eufemia v",Adlersfeld,Eufemia,Frau,v,Adlersfeld Eufemia
"Adolphine, Tante",Adolphine,Tante,,,Adolphine Tante
"Adriani, J",Adriani,J,,,Adriani J
"Agnes, Tante",Agnes,Tante,,,Agnes Tante
"Ahlborn, Luise",Ahlborn,Luise,,,Ahlborn Luise
"Ahlefeldt, Henriette",Ahlefeldt,Henriette,,,Ahlefeldt Henriette
"Airoldy, Baronin Emilie",Airoldy,Emilie,Baronin,,Airoldy Emilie
"Akermann-Hasslacher, Frau Bertha",Akermann-Hasslacher,Bertha,Frau,,Akermann-Hasslacher Bertha
"Alacoque, Margaretha Maria",Alacoque,Margaretha Maria,,,Alacoque Margaretha Maria
"Alberg, Sophie",Alberg,Sophie,,,Alberg Sophie
"Albert, Annie",Albert,Annie,,,Albert Annie
"Albert, C",Albert,C,,,Albert C
"Alberti, Marie",Alberti,Marie,,,Alberti Marie
"Albertini, Frau Laura v",Albertini,Laura,Frau,v,Albertini Laura
"Albrecht, Sophie",Albrecht,Sophie,,,Albrecht Sophie
"Albrecht, Frau",Albrecht,,Frau,,Albrecht 
"Alexandra, Prinzessin v. Bayern",,Alexandra,Prinzessin v. Bayern,, Alexandra
"Alfken, Emilie",Alfken,Emilie,,,Alfken Emilie
"Alfred, Th",Alfred,Th,,,Alfred Th
"Alice, Tante",Alice,Tante,,,Alice Tante
"Allan, George",Allan,George,,,Allan George
"Allesch, Frau Elly",Allesch,Elly,Frau,,Allesch Elly
"Allestein, Emma",Allestein,Emma,,,Allestein Emma
"Almasy, Gräfin, Wilhelmine",Almasy,Wilhelmine,Gräfin,,Almasy Wilhelmine
"Almers, Erna",Almers,Erna,,,Almers Erna
"Al Raschid Bey, Madame",Al Raschid Bey,,Madame,,Al Raschid Bey 
"Alrebi, Bertha",Alrebi,Bertha,,,Alrebi Bertha
"Alt, Helene",Alt,Helene,,,Alt Helene
"Alt, Louise",Alt,Louise,,,Alt Louise
"Alten, Frl. Hedwig v",Alten,Hedwig,Frl.,v,Alten Hedwig
"Althaber, Wilhelmine",Althaber,Wilhelmine,,,Althaber Wilhelmine
"Althof, Paul",Althof,Paul,,,Althof Paul
"Altmann, Elisabeth",Altmann,Elisabeth,,,Altmann Elisabeth
"Altmann, Frl. Ida",Altmann,Ida,Frl.,,Altmann Ida
"Alt-Stutterheim, Helene v",Alt-Stutterheim,Helene,,v,Alt-Stutterheim Helene
"Amadei, Gräfin Anna",Amadei,Anna,Gräfin,,Amadei Anna
"Amalie, Prinzessin",Amalie,Amalie,Prinzessin,,Amalie Amalie
"Amalie, Prinzessin von Sachsen",Amalie,Amalie,Prinzessin Sachsen,von,Amalie Amalie
"Amalie, Prinzessin zu Schleswig-Holstein",Amalie,Amalie,Prinzessin Schleswig-Holstein zu,,Amalie Amalie
"Amalie, Tante",Amalie,Tante,,,Amalie Tante
"Amanda, Tante",Amanda,Tante,,,Amanda Tante
"Ambros, Karoline v",Ambros,Karoline,,v,Ambros Karoline
"Ambrosius, Frau Joh",Ambrosius,Joh,Frau,,Ambrosius Joh
"Amelung, Franziska",Amelung,Franziska,,,Amelung Franziska
"Amelung, Frau Leopoldine",Amelung,Leopoldine,Frau,,Amelung Leopoldine
"Amerlan, Frl. Frieda",Amerlan,Frieda,Frl.,,Amerlan Frieda
"Andechs, Maria",Andechs,Maria,,,Andechs Maria
"Anders, Henriette",Anders,Henriette,,,Anders Henriette
"Anders, Ida",Anders,Ida,,,Anders Ida
"Anderssen, Frau Marie",Anderssen,Marie,Frau,,Anderssen Marie
"Anderten, Eta v",Anderten,Eta,,v,Anderten Eta
"Andow, Paul",Andow,Paul,,,Andow Paul
"Andrä, Louise",Andrä,Louise,,,Andrä Louise
"Andrae-Romanek, M",Andrae-Romanek,M,,,Andrae-Romanek M
"Andrea, Ant",Andrea,Ant,,,Andrea Ant
"Andrea, Silvia",Andrea,Silvia,,,Andrea Silvia
"Andreae, Frl. S. Frieda",Andreae,Frieda S.,Frl.,,Andreae Frieda S.
"Andreae, S. Frieda",Andreae,S. Frieda,,,Andreae S. Frieda
"Andreae, Johanna",Andreae,Johanna,,,Andreae Johanna
"Andreae, Katy",Andreae,Katy,,,Andreae Katy
"Andreä, Nanette",Andreä,Nanette,,,Andreä Nanette
"Andreä, Wilhelmine",Andreä,Wilhelmine,,,Andreä Wilhelmine
"Andreas-Salomé, Frau Lou",Andreas-Salomé,Lou,Frau,,Andreas-Salomé Lou
"Andresen, Frau Stine",Andresen,Stine,Frau,,Andresen Stine
"Andriano, Frl. Emma",Andriano,Emma,Frl.,,Andriano Emma
"Anemüller, Bernh",Anemüller,Bernh,,,Anemüller Bernh
"Angely, M",Angely,M,,,Angely M
"Anger, Clara",Anger,Clara,,,Anger Clara
"Anklam, Frl. Luise",Anklam,Luise,Frl.,,Anklam Luise
"Annecke, Mathilde Franziska",Annecke,Franziska Mathilde,,,Annecke Franziska Mathilde
"Annuske, Frl. Elise",Annuske,Elise,Frl.,,Annuske Elise
Ansion Hasatty,Ansion Hasatty,,,,Ansion Hasatty 
"Apel, Louise",Apel,Louise,,,Apel Louise
"Apffel, Helene",Apffel,Helene,,,Apffel Helene
"Arand, Frau Cäcilia",Arand,Cäcilia,Frau,,Arand Cäcilia
"Arand, Charlotte",Arand,Charlotte,,,Arand Charlotte
"Arbter, Adele v",Arbter,Adele,,v,Arbter Adele
"Arendt-Morgenstern, Frau Olga",Arendt-Morgenstern,Olga,Frau,,Arendt-Morgenstern Olga
"Arens von Braunrasch, Frau Gerichtsrat Auguste",Arens von Braunrasch,Auguste,Frau,Gerichtsrat,Arens von Braunrasch Auguste
"Armand, Karl",Armand,Karl,,,Armand Karl
"Armster, Elise",Armster,Elise,,,Armster Elise
"Armster, Sophie",Armster,Sophie,,,Armster Sophie
"Arndt, Fanny",Arndt,Fanny,,,Arndt Fanny
"Arndt, Pauline",Arndt,Pauline,,,Arndt Pauline
"Arndts, Maria",Arndts,Maria,,,Arndts Maria
"Arnefeldt, F",Arnefeldt,F,,,Arnefeldt F
"Arnefeldt, F",Arnefeldt,F,,,Arnefeldt F
"Arnhard, Frl. Anna",Arnhard,Anna,Frl.,,Arnhard Anna
"Arnheim, Henriette",Arnheim,Henriette,,,Arnheim Henriette
"Arnim, Bettina v",Arnim,Bettina,,v,Arnim Bettina
"Arnim, Eva A. v",Arnim,A. Eva,,v,Arnim A. Eva
"Arnim, Frau Gisela v",Arnim,Gisela,Frau,v,Arnim Gisela
"Arnim, Frau Hauptmann M. v",Arnim,M.,Frau Hauptmann,v,Arnim M.
"Arnim-Fredenwalde, Frl. Eva v",Arnim-Fredenwalde,Eva,Frl.,v,Arnim-Fredenwalde Eva
"Arnold, Hans",Arnold,Hans,,,Arnold Hans
"Arnold, Hans",Arnold,Hans,,,Arnold Hans
"Arnold, Marie",Arnold,Marie,,,Arnold Marie
"Arnoldi, Clemens",Arnoldi,Clemens,,,Arnoldi Clemens
"Arnous, Frl. Amélie",Arnous,Amélie,Frl.,,Arnous Amélie
"Arpadi, Marie und Lajos",Arpadi,Marie Lajos und,,,Arpadi Marie Lajos und
"Arx-Stegmüller, Frau Fanny v",Arx-Stegmüller,Fanny,Frau,v,Arx-Stegmüller Fanny
"Asenijeff, Elsa",Asenijeff,Elsa,,,Asenijeff Elsa
"Asmis, Auguste",Asmis,Auguste,,,Asmis Auguste
"Asmis, Johanna",Asmis,Johanna,,,Asmis Johanna
"Asmus, Frl. Martha",Asmus,Martha,Frl.,,Asmus Martha
"Assmuss, Frau Elise",Assmuss,Elise,Frau,,Assmuss Elise
"Assing, Ludmilla",Assing,Ludmilla,,,Assing Ludmilla
"Asten, Luise v",Asten,Luise,,v,Asten Luise
"Astl-Leonhard, Frau Anna",Astl-Leonhard,Anna,Frau,,Astl-Leonhard Anna
"Aston, Louise",Aston,Louise,,,Aston Louise
"Asztalos, Elise v",Asztalos,Elise,,v,Asztalos Elise
Athanasia und Eusebia,Athanasia und Eusebia,,,,Athanasia und Eusebia 
"Aubin, Maria",Aubin,Maria,,,Aubin Maria
Auch eine Frauenpflicht,Auch eine Frauenpflicht,,,,Auch eine Frauenpflicht 
"Auegg, Henriette",Auegg,Henriette,,,Auegg Henriette
"Auer, Adelheid von",Auer,Adelheid,,von,Auer Adelheid
"Auer, Frl. Agnes von",Auer,Agnes,Frl.,von,Auer Agnes
"Auerswald, Frl. A. v",Auerswald,A.,Frl.,v,Auerswald A.
Auguste,Auguste,,,,Auguste 
"Augusti, Bertha",Augusti,Bertha,,,Augusti Bertha
"Augusti, Brigitte",Augusti,Brigitte,,,Augusti Brigitte
"Augusti, Brigitte",Augusti,Brigitte,,,Augusti Brigitte
"Augspurg, Anita",Augspurg,Anita,,,Augspurg Anita
"Augustin, S",Augustin,S,,,Augustin S
"Aurelie, Tante",Aurelie,Tante,,,Aurelie Tante
"Aurnhammer v. Aurnstein, Marianne",Aurnhammer v. Aurnstein,Marianne,,,Aurnhammer v. Aurnstein Marianne
"Ausfeld, Anna",Ausfeld,Anna,,,Ausfeld Anna
"Auslerer El Ydalour, Frl. Anna",Auslerer El Ydalour,Anna,Frl.,,Auslerer El Ydalour Anna
"Avari, E",Avari,E,,,Avari E
"Averdieck, C. v",Averdieck,C.,,v,Averdieck C.
"Averdieck, E. v",Averdieck,E.,,v,Averdieck E.
"Bååth-Holmberg, Cecilia",Bååth-Holmberg,Cecilia,,,Bååth-Holmberg Cecilia
"Bach, Cuno",Bach,Cuno,,,Bach Cuno
"Bach, Emilie",Bach,Emilie,,,Bach Emilie
"Bach, Emilie",Bach,Emilie,,,Bach Emilie
"Bach, Jenny",Bach,Jenny,,,Bach Jenny
"Bach, Frl. Ottilie",Bach,Ottilie,Frl.,,Bach Ottilie
"Bach-Gelpcke, Frau Marie",Bach-Gelpcke,Marie,Frau,,Bach-Gelpcke Marie
"Bacheracht, Therese v",Bacheracht,Therese,,v,Bacheracht Therese
"Bachmann, C. F",Bachmann,C. F,,,Bachmann C. F
"Bachofner-Buxtorf, Anna",Bachofner-Buxtorf,Anna,,,Bachofner-Buxtorf Anna
"Bacmeister, Frau Lucie",Bacmeister,Lucie,Frau,,Bacmeister Lucie
"Baeblich, Frau Lucie",Baeblich,Lucie,Frau,,Baeblich Lucie
"Baentsch, Frau Dr. Rosa",Baentsch,Rosa,Dr. Frau,,Baentsch Rosa
"Baer, Frl. Ida",Baer,Ida,Frl.,,Baer Ida
"Baerenfels, Frau v",Baerenfels,,Frau,v,Baerenfels 
"Baernreither, Frl. Franziska C",Baernreither,Franziska C,Frl.,,Baernreither Franziska C
"Bagge, Bertha",Bagge,Bertha,,,Bagge Bertha
"Bagge, Frl. Elilla",Bagge,Elilla,Frl.,,Bagge Elilla
"Bagge, Frl. Elilla",Bagge,Elilla,Frl.,,Bagge Elilla
"Bajovar, Joseph",Bajovar,Joseph,,,Bajovar Joseph
"Baisch, Frau Amalie",Baisch,Amalie,Frau,,Baisch Amalie
"Bake, Frl. Elise",Bake,Elise,Frl.,,Bake Elise
"Balás-Kisócz, Frau Marie von",Balás-Kisócz,Marie,Frau,von,Balás-Kisócz Marie
"Baldin, A",Baldin,A,,,Baldin A
