Original,Name Vorname,Name,Vorname,Titel,Sonstiges
"Maass, Frl. Anna",Maass Anna,Maass,Anna,Frl.,
"Maass-Suhr, Frau Luise",Maass-Suhr Luise,Maass-Suhr,Luise,Frau,
"Machczynśca, Antonie von",Machczynśca Antonie,Machczynśca,Antonie,,von
"Machold, A. S",Machold A. S,Machold,A. S,,
"Madelung, Franziska",Madelung Franziska,Madelung,Franziska,,
"Maderny, Freifrau Helene von",Maderny Helene,Maderny,Helene,Freifrau,von
"Mädler, Minna von",Mädler Minna,Mädler,Minna,,von
"Madsack, Frau Luise",Madsack Luise,Madsack,Luise,Frau,
Magdalene,Magdalene,Magdalene,,,
Maggy,Maggy,Maggy,,,
"Magosch, Hermine",Magosch Hermine,Magosch,Hermine,,
"Maguire, Helena",Maguire Helena,Maguire,Helena,,
"Mahn-Wothe, Frau Anny",Mahn-Wothe Anny,Mahn-Wothe,Anny,Frau,
"Mai, Clara",Mai Clara,Mai,Clara,,
"Mai, Luise",Mai Luise,Mai,Luise,,
"Mainau, Franziska",Mainau Franziska,Mainau,Franziska,,
"Maître, Elisabeth le",Maître le Elisabeth,Maître,le Elisabeth,,
"Maier, Anna",Maier Anna,Maier,Anna,,
"Maier, Elisa",Maier Elisa,Maier,Elisa,,
"Maier-Streib, Sophie",Maier-Streib Sophie,Maier-Streib,Sophie,,
"Mainhardt, J",Mainhardt J,Mainhardt,J,,
"Majdanska, Helena",Majdanska Helena,Majdanska,Helena,,
"Makowiczka, A",Makowiczka A,Makowiczka,A,,
"Maksa-Segalla, Frau Ida",Maksa-Segalla Ida,Maksa-Segalla,Ida,Frau,
"Malapert, Freifrau Marie Konstanze von",Malapert Konstanze Marie,Malapert,Konstanze Marie,Freifrau,von
"Malcomes, Frau Baronin Gizella",Malcomes Gizella,Malcomes,Gizella,Frau Baronin,
"Malecka, Frau Marie",Malecka Marie,Malecka,Marie,Frau,
"Malling, Mathilda",Malling Mathilda,Malling,Mathilda,,
"Malo, Frl. Elisabeth",Malo Elisabeth,Malo,Elisabeth,Frl.,
"Malsch, Marie von",Malsch Marie,Malsch,Marie,,von
"Maltens, Frau Clara",Maltens Clara,Maltens,Clara,Frau,
"Maltzahn, Baronin Ada von",Maltzahn Ada,Maltzahn,Ada,Baronin,von
"Maltzahn, Amelie, Freifrau v",Maltzahn Freifrau v,Maltzahn,Freifrau v,,
"Maltzahn, E. v",Maltzahn E.,Maltzahn,E.,,v
"Maltzan, Malwine",Maltzan Malwine,Maltzan,Malwine,,
"Malybrok-Stieler, O",Malybrok-Stieler O,Malybrok-Stieler,O,,
"Mancke, Frl. Maria",Mancke Maria,Mancke,Maria,Frl.,
Mánd Emilie v,Mánd Emilie v,Mánd Emilie v,,,
"Mand, J. E",Mand J. E,Mand,J. E,,
"Mangold, Emilie",Mangold Emilie,Mangold,Emilie,,
"Mann, Frau Mathilde",Mann Mathilde,Mann,Mathilde,Frau,
"Männel, Lina",Männel Lina,Männel,Lina,,
"Mannheim, L",Mannheim L,Mannheim,L,,
"Manteuffel, Frl. Else von",Manteuffel Else,Manteuffel,Else,Frl.,von
"Manteuffel, Erna v",Manteuffel Erna,Manteuffel,Erna,,v
"Manteuffel, Ursula Zöge von",Manteuffel Ursula Zöge,Manteuffel,Ursula Zöge,,von
"Manuela, M",Manuela M,Manuela,M,,
"Mappes, Frau Katharina",Mappes Katharina,Mappes,Katharina,Frau,
"Marbach, Klara",Marbach Klara,Marbach,Klara,,
"Marbeck, Bertha",Marbeck Bertha,Marbeck,Bertha,,
"Marbod, Cora",Marbod Cora,Marbod,Cora,,
"Marburg, Sophie",Marburg Sophie,Marburg,Sophie,,
"Marby, Frl. Amalie",Marby Amalie,Marby,Amalie,Frl.,
"Marchand, Frl. Margarete Emma",Marchand Emma Margarete,Marchand,Emma Margarete,Frl.,
"Marchesi, Frau Mathilde",Marchesi Mathilde,Marchesi,Mathilde,Frau,
"Marechal, Fanny",Marechal Fanny,Marechal,Fanny,,
"Marées, Amalie de",Marées Amalie de,Marées,Amalie de,,
"Marées, Friederike v",Marées Friederike,Marées,Friederike,,v
"Marenholtz-Bülow, Frau von",Marenholtz-Bülow,Marenholtz-Bülow,,Frau,von
"Marezoll, Karoline Luise Friederike",Marezoll Friederike Karoline Luise,Marezoll,Friederike Karoline Luise,,
"Marggraff, Elisabeth",Marggraff Elisabeth,Marggraff,Elisabeth,,
"Margot, G",Margot G,Margot,G,,
"Marheim, Helene",Marheim Helene,Marheim,Helene,,
"Marholm, Laura",Marholm Laura,Marholm,Laura,,
"Marholm, Leonhard",Marholm Leonhard,Marholm,Leonhard,,
Maria Amalie Frid. Aug. Herzogin v. Sachsen,Maria Amalie Frid. Aug.  Herzogin v. Sachsen,Maria Amalie Frid. Aug. ,Herzogin v. Sachsen,,
Maria Antoinette,Maria Antoinette,Maria Antoinette,,,
"Maria, K",Maria K,Maria,K,,
"Maria, Königin v. Neapel",Maria,,Maria,Königin von Neapel,
"Maria, Tante",Maria,,Maria,Tante,
Mariam-Tenger,Mariam-Tenger,Mariam-Tenger,,,
"Marianne, Natalie",Marianne Natalie,Marianne,Natalie,,
"Marie, Adelaide",Marie Adelaide,Marie,Adelaide,,
"Marie, Helene",Marie Helene,Marie,Helene,,
"Marie, Margarete",Marie Margarete,Marie,Margarete,,
Marietta,Marietta,Marietta,,,
Marino,Marino,Marino,,,
"Mari-Oesterheld, Frau Therese Ida",Mari-Oesterheld Ida Therese,Mari-Oesterheld,Ida Therese,Frau,
Marius,Marius,Marius,,,
"Markstein, Frl. E",Markstein E,Markstein,E,Frl.,
"Mark, Hans von der",Mark Hans,Mark,Hans,,von der
"Markovics, Marie Antoinette v",Markovics Antoinette Marie,Markovics,Antoinette Marie,,v
"Marlet-Čop, Frau Mara",Marlet-Čop Mara,Marlet-Čop,Mara,Frau,
"Marlitt, E",Marlitt E,Marlitt,E,,
"Marlitt, E",Marlitt E,Marlitt,E,,
"Marly, Esther",Marly Esther,Marly,Esther,,
"Marpurg, Frau Pauline",Marpurg Pauline,Marpurg,Pauline,Frau,
"Marquardsen, A",Marquardsen A,Marquardsen,A,,
"Marquardt, Angelika von",Marquardt Angelika,Marquardt,Angelika,,von
"Marr, Frau Elisabeth",Marr Elisabeth,Marr,Elisabeth,Frau,
"Marriot, Emil",Marriot Emil,Marriot,Emil,,
"Marriot, Emil",Marriot Emil,Marriot,Emil,,
"Marschner, Amalie",Marschner Amalie,Marschner,Amalie,,
"Marthen, W",Marthen W,Marthen,W,,
"Martin, C",Martin C,Martin,C,,
"Martin, Henriette",Martin Henriette,Martin,Henriette,,
"Martin, Mathilde",Martin Mathilde,Martin,Mathilde,,
"Martinez, Marianne",Martinez Marianne,Martinez,Marianne,,
"Martini, Christiane Sophie Elisabeth",Martini Sophie Christiane Elisabeth,Martini,Sophie Christiane Elisabeth,,
"Martini, Selma",Martini Selma,Martini,Selma,,
"Marwitz, Marie v. d",Marwitz d Marie,Marwitz,d Marie,,v.
"Marx, Frl. Klara",Marx Klara,Marx,Klara,Frl.,
"Marx, Therese",Marx Therese,Marx,Therese,,
Mary,Mary,Mary,,,
"Masche, Fr",Masche Fr,Masche,Fr,,
"Masser, Frau Klara",Masser Klara,Masser,Klara,Frau,
"Massow, Frau Julie von",Massow Julie,Massow,Julie,Frau,von
"Massow, Julie v",Massow Julie,Massow,Julie,,v
"Massow, Klara v",Massow Klara,Massow,Klara,,v
"Massow, Frl. Margarete von",Massow Margarete,Massow,Margarete,Frl.,von
"Masur, Auguste",Masur Auguste,Masur,Auguste,,
"Mataja, Frl. Emilie",Mataja Emilie,Mataja,Emilie,Frl.,
"Mathé, Berta",Mathé Berta,Mathé,Berta,,
"Mathilde, Fürstin von Schwarzburg-Sondershausen",Mathilde Schwarzburg-Sondershausen,Mathilde,Schwarzburg-Sondershausen,Fürstin,von
"Mathilde, die Königin",Mathilde Königin die,Mathilde,Königin die,,
Mathildens Genesung,Mathildens Genesung,Mathildens Genesung,,,
"Matthes, Frl. Valerie",Matthes Valerie,Matthes,Valerie,Frl.,
"Matthey, Maja",Matthey Maja,Matthey,Maja,,
"Matthias-Tendering, Frau Bertha",Matthias-Tendering Bertha,Matthias-Tendering,Bertha,Frau,
"Matthys, Emma",Matthys Emma,Matthys,Emma,,
"Mättig-Willkomm, Frau Sophie",Mättig-Willkomm Sophie,Mättig-Willkomm,Sophie,Frau,
"Matzner, Josa",Matzner Josa,Matzner,Josa,,
"Maul, Frl. Anna",Maul Anna,Maul,Anna,Frl.,
"Maul, Frl. Elise",Maul Elise,Maul,Elise,Frl.,
Maune. Agnes,Maune. Agnes,Maune. Agnes,,,
"Max, Hero",Max Hero,Max,Hero,,
"May, Anna",May Anna,May,Anna,,
"May, George",May George,May,George,,
"May, Frl. Maria Theresia",May Theresia Maria,May,Theresia Maria,Frl.,
"May, Sophie",May Sophie,May,Sophie,,
"Mayenburg, Theodora v",Mayenburg Theodora,Mayenburg,Theodora,,v
"Mayer, Frl. Anna",Mayer Anna,Mayer,Anna,Frl.,
