gnd,surname,prename,name_complete,gender,biography_1,bibliography_1,alternative_1,biography_alternative_1,bibliography_alternative_1,alternative_2,biography_alternative_2,bibliography_alternative_2,alternative_3,biography_alternative_3,bibliography__alternative_3,alternative_4,biography_alternative_4,bibliography_alternative_4,alternative_5,biography__alternative_5,bibliography_alternative_5
116000139,Aachen,Maria Johanna Katharina Erika Elisabeth von,Aachen Maria Elisabeth Johanna Erika Katharina,female,"geb. von Amboten, geboren den 21. April 1755.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
137537719,Abel,Frau Clementine,Abel Clementine,female,"geb. Hofmeister, Ps. Clelie Betemann. Leipzig, Langestr. 8, geboren am 15. Januar 1826 in Leipzig, ist bekannt durch ihre Jugendschriften und Erzählungen, wie auch als Dichterin und Feuilletonistin. Werke: s. Clelie Betemann.",.,Betemann Clelie,Biographie s. Clementine Abel.,"‒ An der Mutter Hand. Leipzig 1883, Abel & M. – Vergriffen. – ‒ Meine Sonntage. Rückblicke und Erinnerungen. Erzählg. 8. (244) Ebda. 1882. geb. n 4.– ‒ Sprüche, Strophen und Stimmungsbilder. Lyrisches u. Didaktisches. 8. (139) Ebda. 1889. geb. 3.–",.,.,.,.,.,.,.,.,.,.,.,.
1192856465,Abele,Marie,Abele Marie,female,"Neuestes Stuttgarter Kochbuch. Eine Auswahl der bewährtesten Kochrezepte f. d. bürgerliche Küche. 8. (XI, 155) Stuttgart 1870, Grüninger. n 1.80, kart. n 2.10",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1058458868,Abraham-Rieve,Frau Catharina,Abraham-Rieve Catharina,female,"Ps. M. Reinhold, Lübeck, Lindenplatz 15, am 17. Mai 1844 in Eiderstedt in Schleswig geboren, als Tochter des Hofbesitzers Peter Heinrich Rieve. Sie verlor ihre Mutter bald nach der Geburt, ihren Vater in ihrem 13. Lebensjahre. Sie kam nach Husum, wo sie sich später verheiratete. Seit zehn Iahren wohnt sie mit ihrer Familie in Lübeck. In freien Stunden, welche ihr die Hausfrauenund Mutterpflichten gewähren, ist sie schriftstellerisch thätig, sie veröffentlicht ihre Arbeiten, welche zumeist der sozialen Frage gewidmet sind, in verschiedenen Zeitschriften.","‒ Frauenliebe u. Blumenleben. Ein Novellenstrauss. 8. (128) Dresden 1898, E. Pierson. 2.–",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1035443260,Abt,Frl. Hedwig,Abt Hedwig,female,"Berlin W., Göbenstr. 25/26, geb. in Lehesten den 20. September 1856.","‒ Abseits vom Glück. Rom. 2 Bde. 8. (178 u. 188) Dresden 1894, C. Reissner. n 5.– ‒ Der fünfstöckige Don Juan. Nov. 8. (71) Ebda. 1895. n 1.– ‒ Eine gute Partie. Rom. a. d. Börsenleben. 8. (160) Nauen 1892, M. Freihof. n 1.– ‒ Ein Weib aus dem Volke. Erzählg. Altenburg 1896, St. Geibel. 2.–; geb. 3.– ‒ Evas Roman. 12. (214) Berlin 1890, A. Goldschmidt. n 1.–",Abt Hedwig,"Ein Weib aus dem Volke. Erzählg. 8. (180) Altenburg 1897, St. Geibel. 2.–; geb. 3.– Siehe auch Band I.",.,.,.,.,.,.,.,.,.,.,.,.,.
119233444,Adelaide,Marie,Adelaide Marie,female,Biographie u. Werke s. Adelaide Marie Iwersen. Band I.,.,Marie Adelaide,Biographie s. Adelaide Marie Iwersen.,.,.,.,.,.,.,.,.,.,.,.,.,.
118605429,Adele,,Adele ,female,"Aus dem Stillleben eines weiblichen Herzens. Taschenbuch den deutschen Frauen gewidmet. 16. (104) Darmstadt 1849, Küchler kart. 1.–",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116234695,Adeline,,Adeline ,female,"Liebeslieder vom Rheine. 16. (VIII u. 197) Köln 1861, Du Mont. Schauberg n 2.–",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
123847451,Adelma,Elise,Adelma Elise,female,s. Baronin Adelma v. Vay.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1017183406,Adelmann,Frl. Helene,Adelmann Helene,female,"London W., 16 Wyndham Place, Bryanston Square – Ps. Tante Helene, ist am 15. September 1841 zu Offenbach bei Landau in der Rheinpfalz geboren, und obwohl sie nur die Dorfschule besucht hat, erreichte sie nach mancherlei Bildungskämpfen ihr Ziel, eine Lehrerin zu werden. Früh erwachte in ihr eine starke Neigung für naturwissenschaftliche Studien und der Vater, der sie in Musik und fremden Sprachen unterrichtete, stärkte ihren kraftvollen Bildungsdrang. Die bitteren Erfahrungen, die sie selbst in England als Erzieherin durchkosten musste, bewogen sie, sich gegen die schamlose Ausbeutung der deutschen Erzieherinnen durch die Agenten zu wenden. Durch unermüdete Propaganda, in den ihr bekannten Kreisen und unterstützt von einem bedeutenden Organisationstalent gelang es ihr, durch die 14 Mitglieder eines von ihr gegründeten kleinen Lesezirkels einen Verein von 700 Mitgliedern ins Leben zu rufen, welcher sich die Stellenvermittlung zur Aufgabe setzte. Gekrönt wurde ihr edles Bestreben, ihre rastlose, hingebende Thätigkeit, als am 1. Juli 1879, zwei Iahre nach Gründung des Vereins, das »Daheim« eröffnet werden konnte, in welches sie auf den Wunsch der Generalversammlung 1881 ganz übersiedelte. Zu diesem Obdache deutscher Lehrerinnen in England spendete Kaiserin Augusta 1000 Mk., Kaiser Wilhelm I. 2000 Mk. Nach Iahren schwerer Arbeit und Sorge gingen die gemieteten Häuser auf 21 Iahre in den Besitz des Vereins über. Ein kleines Sanatorium wurde gebaut und vor 4 Iahren ein Ferienund Rekonvalescentenheim auf dem Lande eröffnet, zu dem Kaiser Wilhelm II. 3000 Mk. sandte. Viele deutsche Fürsten, Regierungen und Magistrate senden Iahresbeiträge. 1890 kam sie als Abgesandte ihres Vereins nach Friedrichsroda zum Allgemeinen Deutschen Lehrerinnenverein, der sie in den Vorstand wählte. Sie schrieb in ihr Fach einschlagende Broschüren und Geschichten für ihr Vereinsorgan, auch hie und da kleine naturwissenschaftliche Artikel für englische Blätter.","‒ Aus meiner Kinderzeit. 8 (VI, 146) Berlin 1892, L. Oehmigkes Verl. n. 1.80, geb. n 2.50 ‒ Märchen. Speier, Kleeberger. – Vergriffen. – ‒ Ratschläge für deutsche Erzieherinnen in England. 8. (22) Berlin 1897, W. Moeser. –.40",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
